,Game,Nash
13,"( ([[0.96886837, 0.37402063, 0.69004452],
       [0.6004919 , 0.06072732, 0.917719  ],
       [0.35292254, 0.53684152, 0.55273418]]),  ([[0.76527239, 0.30013913, 0.42483234],
       [0.61991151, 0.16303513, 0.23896431],
       [0.72564665, 0.95851589, 0.17274453]]))","[( ([1., 0., 0.]),  ([1., 0., 0.])), ( ([0., 0., 1.]),  ([0., 1., 0.])), ( ([0.33362236, 0.        , 0.66637764]),  ([0.20907531, 0.79092469, 0.        ]))]"
14,"( ([[0.15296992, 0.39483082, 0.69280093],
       [0.07038078, 0.13196534, 0.47784816],
       [0.24111684, 0.01773114, 0.851653  ]]),  ([[0.4308267 , 0.3910084 , 0.17758104],
       [0.20460041, 0.10363749, 0.99559434],
       [0.98125402, 0.92442246, 0.34308852]]))","[( ([0., 0., 1.]),  ([1., 0., 0.]))]"
15,"( ([[0.16292354, 0.06485138, 0.55811351],
       [0.08452708, 0.90780722, 0.99193395],
       [0.38793733, 0.16327678, 0.90142032]]),  ([[0.15881344, 0.57946325, 0.49034922],
       [0.04896609, 0.34415514, 0.39746147],
       [0.62077206, 0.61767818, 0.80535459]]))","[( ([0., 1., 0.]),  ([0., 0., 1.]))]"
16,"( ([[0.03550733, 0.51708592, 0.75590255],
       [0.611658  , 0.55540204, 0.69102179],
       [0.22542183, 0.11876991, 0.93815142]]),  ([[0.11384869, 0.45767508, 0.55630641],
       [0.61040839, 0.67654181, 0.92288069],
       [0.24272777, 0.23739542, 0.39800183]]))","[( ([0., 0., 1.]),  ([0., 0., 1.]))]"
17,"( ([[0.29121979, 0.66187324, 0.77485698],
       [0.34365282, 0.35978023, 0.30480327],
       [0.97641741, 0.96487492, 0.88081684]]),  ([[0.1329046 , 0.03953504, 0.48841738],
       [0.65740297, 0.7523968 , 0.72597226],
       [0.50882037, 0.03570422, 0.25002596]]))","[( ([0., 0., 1.]),  ([1., 0., 0.]))]"
18,"( ([[0.39025009, 0.059572  , 0.39400558],
       [0.05572701, 0.00115577, 0.05022809],
       [0.06786743, 0.92096441, 0.67805814]]),  ([[0.31618711, 0.14099842, 0.82212765],
       [0.43979121, 0.56227863, 0.43526186],
       [0.96194653, 0.39817763, 0.63625514]]))","[( ([0.39162926, 0.        , 0.60837074]),  ([ 0.4683972, -0.       ,  0.5316028]))]"
19,"( ([[0.28407836, 0.80044353, 0.45126962],
       [0.82436101, 0.67892461, 0.68061131],
       [0.99836058, 0.53037442, 0.0579167 ]]),  ([[0.75480675, 0.89908416, 0.78190027],
       [0.15624294, 0.07441953, 0.47837867],
       [0.21770975, 0.35877263, 0.79443458]]))","[( ([1., 0., 0.]),  ([0., 1., 0.])), ( ([0., 1., 0.]),  ([0., 0., 1.])), ( ([0.77514062, 0.22485938, 0.        ]),  ([0.        , 0.65365471, 0.34634529]))]"
20,"( ([[0.54794045, 0.20743155, 0.66039991],
       [0.75973362, 0.6700883 , 0.03836307],
       [0.8513884 , 0.00143222, 0.09257273]]),  ([[0.23526268, 0.92859863, 0.43829891],
       [0.23465068, 0.49879474, 0.77424682],
       [0.70116938, 0.36452518, 0.92022141]]))","[( ([0.35971457, 0.64028543, 0.        ]),  ([0.        , 0.57346779, 0.42653221]))]"
21,"( ([[0.55852643, 0.7188767 , 0.4603799 ],
       [0.58025659, 0.27248625, 0.61980727],
       [0.17653114, 0.20784146, 0.05207259]]),  ([[0.9921344 , 0.57647725, 0.59924539],
       [0.75095298, 0.80404853, 0.66982135],
       [0.35728196, 0.68748154, 0.31759589]]))","[( ([0.11326986, 0.88673014, 0.        ]),  ([0.95358, 0.04642, 0.     ]))]"
22,"( ([[0.5428513 , 0.89231069, 0.56538663],
       [0.72928435, 0.99423542, 0.73189105],
       [0.8920626 , 0.25961384, 0.11431963]]),  ([[0.70922882, 0.72144019, 0.03266617],
       [0.04472436, 0.96172277, 0.59037629],
       [0.38548127, 0.29589936, 0.78189946]]))","[( ([0., 1., 0.]),  ([0., 1., 0.]))]"
23,"( ([[0.84457482, 0.13615912, 0.48000386],
       [0.5541608 , 0.06205073, 0.92291376],
       [0.74598943, 0.44081398, 0.77177385]]),  ([[0.89414458, 0.44937165, 0.59707445],
       [0.22833096, 0.44805509, 0.62931762],
       [0.04248564, 0.10634943, 0.0834015 ]]))","[( ([1., 0., 0.]),  ([1., 0., 0.])), ( ([0., 1., 0.]),  ([0., 0., 1.])), ( ([0., 0., 1.]),  ([0., 1., 0.])), ( ([0.12555874, 0.        , 0.87444126]),  ([0.75551699, 0.24448301, 0.        ])), ( ([0.       , 0.1123739, 0.8876261]),  ([0.        , 0.28522175, 0.71477825]))]"
24,"( ([[0.38398268, 0.41174053, 0.19065198],
       [0.87266702, 0.91109655, 0.03101615],
       [0.40066072, 0.71644863, 0.41013454]]),  ([[0.24175729, 0.40863112, 0.55871093],
       [0.81578156, 0.89961171, 0.51103392],
       [0.82215712, 0.73949694, 0.3887959 ]]))","[( ([0., 1., 0.]),  ([0., 1., 0.]))]"
25,"( ([[0.55866275, 0.12449386, 0.05553712],
       [0.23872936, 0.26694273, 0.21150216],
       [0.66514786, 0.63268287, 0.6065599 ]]),  ([[0.37731283, 0.58211026, 0.97962423],
       [0.199823  , 0.37712413, 0.15660943],
       [0.63444504, 0.15569296, 0.89723722]]))","[( ([0., 0., 1.]),  ([0., 0., 1.]))]"
26,"( ([[0.07930877, 0.50166791, 0.65128854],
       [0.16969248, 0.02241075, 0.7286561 ],
       [0.55319299, 0.096022  , 0.33006368]]),  ([[0.07966298, 0.27829821, 0.45307949],
       [0.56728078, 0.52029663, 0.59980948],
       [0.1593911 , 0.79155074, 0.80586829]]))","[( ([0., 1., 0.]),  ([0., 0., 1.]))]"
27,"( ([[0.07339711, 0.15201939, 0.78995423],
       [0.18830817, 0.6069482 , 0.01546177],
       [0.79029105, 0.17894349, 0.58231185]]),  ([[0.54160793, 0.3518474 , 0.05876254],
       [0.8430473 , 0.45300975, 0.70093417],
       [0.21359797, 0.71046452, 0.89090789]]))","[( ([0.41510087, 0.23886128, 0.34603785]),  ([0.07931938, 0.57258285, 0.34809778]))]"
28,"( ([[0.10083742, 0.46064789, 0.1253348 ],
       [0.52906053, 0.17465727, 0.44814425],
       [0.26746347, 0.09276662, 0.04238289]]),  ([[0.28791691, 0.42949444, 0.92245379],
       [0.98325529, 0.21645566, 0.81965869],
       [0.66052394, 0.40323545, 0.96952754]]))","[( ([0., 1., 0.]),  ([1., 0., 0.]))]"
29,"( ([[0.31758475, 0.50684417, 0.29812035],
       [0.33981281, 0.01386052, 0.30780588],
       [0.01026777, 0.77782199, 0.00222331]]),  ([[0.51426316, 0.85750017, 0.87426422],
       [0.51028968, 0.24567154, 0.82207051],
       [0.05283313, 0.34017116, 0.51765077]]))","[( ([0., 1., 0.]),  ([0., 0., 1.]))]"
30,"( ([[0.32319506, 0.26420176, 0.26833824],
       [0.81585328, 0.6704781 , 0.60585404],
       [0.75811893, 0.27031755, 0.0263606 ]]),  ([[0.26498606, 0.55285715, 0.56362642],
       [0.89251752, 0.48938162, 0.64378879],
       [0.29815352, 0.32076643, 0.26320626]]))","[( ([0., 1., 0.]),  ([1., 0., 0.]))]"
31,"( ([[0.37156807, 0.72326188, 0.46114895],
       [0.57248546, 0.22087477, 0.98157358],
       [0.38997583, 0.42562959, 0.7402087 ]]),  ([[0.59228729, 0.20273853, 0.60566812],
       [0.07822177, 0.16473214, 0.64674792],
       [0.37049817, 0.71171786, 0.11364097]]))","[( ([0., 1., 0.]),  ([0., 0., 1.]))]"
32,"( ([[0.23643483, 0.52862278, 0.29931885],
       [0.29272724, 0.26071369, 0.9595811 ],
       [0.87223197, 0.1379805 , 0.4416903 ]]),  ([[0.63666522, 0.34133937, 0.50471689],
       [0.72436814, 0.70563664, 0.88024249],
       [0.22295225, 0.41742636, 0.13761876]]))","[( ([0., 1., 0.]),  ([0., 0., 1.])), ( ([0.39704803, 0.        , 0.60295197]),  ([0.38057997, 0.61942003, 0.        ])), ( ([0.22419287, 0.39710237, 0.37870477]),  ([0.28180734, 0.52798346, 0.19020919]))]"
33,"( ([[0.19468009, 0.80166134, 0.47236117],
       [0.70635197, 0.64042154, 0.4497076 ],
       [0.10463843, 0.22857071, 0.14637486]]),  ([[0.97242507, 0.44296845, 0.2128399 ],
       [0.93272588, 0.76483968, 0.46878562],
       [0.86118254, 0.22666172, 0.06483048]]))","[( ([0., 1., 0.]),  ([1., 0., 0.]))]"
34,"( ([[0.74589037, 0.50424409, 0.57649666],
       [0.63130074, 0.54737469, 0.08099133],
       [0.2122051 , 0.93768612, 0.66201455]]),  ([[0.07974645, 0.61849559, 0.80742513],
       [0.24334637, 0.0251651 , 0.08332924],
       [0.49295688, 0.1116283 , 0.12450609]]))","[( ([0.33613801, 0.        , 0.66386199]),  ([0.13810958, 0.        , 0.86189042]))]"
35,"( ([[0.39074195, 0.37905485, 0.49091463],
       [0.87694579, 0.81969984, 0.82188642],
       [0.98304395, 0.7771113 , 0.68049872]]),  ([[0.91058862, 0.65505606, 0.03290584],
       [0.19611779, 0.58821484, 0.53607775],
       [0.08594316, 0.13486614, 0.59168744]]))","[( ([0., 1., 0.]),  ([0., 1., 0.]))]"
36,"( ([[0.07309743, 0.89821041, 0.17772261],
       [0.53866954, 0.11626411, 0.70967235],
       [0.41610669, 0.80094245, 0.69821655]]),  ([[0.56135913, 0.88424552, 0.34008604],
       [0.15580006, 0.76357095, 0.75443035],
       [0.70217082, 0.56389568, 0.64249445]]))","[( ([1., 0., 0.]),  ([0., 1., 0.])), ( ([0.299841, 0.      , 0.700159]),  ([0.22092435, 0.77907565, 0.        ])), ( ([0.        , 0.89582106, 0.10417894]),  ([0.       , 0.0164563, 0.9835437]))]"
37,"( ([[0.34520604, 0.62262242, 0.75971628],
       [0.39676871, 0.02862537, 0.94613247],
       [0.05893551, 0.02133278, 0.9663822 ]]),  ([[0.04877998, 0.99221846, 0.27847927],
       [0.30517405, 0.04091886, 0.03114691],
       [0.21282497, 0.29977483, 0.51725718]]))","[( ([1., 0., 0.]),  ([0., 1., 0.])), ( ([0., 1., 0.]),  ([1., 0., 0.])), ( ([0., 0., 1.]),  ([0., 0., 1.])), ( ([0.21880978, 0.78119022, 0.        ]),  ([0.92012718, 0.07987282, 0.        ])), ( ([0.23354523, 0.        , 0.76645477]),  ([0.        , 0.25578872, 0.74421128])), ( ([0.        , 0.52628108, 0.47371892]),  ([0.05655039, 0.        , 0.94344961])), ( ([0.10853403, 0.51225923, 0.37920673]),  ([0.03869181, 0.23218272, 0.72912547]))]"
38,"( ([[0.29804839, 0.61539107, 0.84445607],
       [0.9932472 , 0.00671115, 0.24196541],
       [0.48487016, 0.65753791, 0.55757854]]),  ([[0.79222221, 0.36730589, 0.38197502],
       [0.56976712, 0.5013956 , 0.03023573],
       [0.60955899, 0.93864101, 0.43142191]]))","[( ([0., 1., 0.]),  ([1., 0., 0.])), ( ([0., 0., 1.]),  ([0., 1., 0.])), ( ([0.        , 0.82797606, 0.17202394]),  ([0.56144292, 0.43855708, 0.        ]))]"
39,"( ([[0.66837597, 0.76777556, 0.97500501],
       [0.6561464 , 0.99499798, 0.30408799],
       [0.77360728, 0.07727963, 0.48440787]]),  ([[7.57260577e-01, 9.36929720e-01, 6.29227450e-01],
       [2.75993559e-01, 4.40301417e-01, 3.48509687e-01],
       [6.76118238e-01, 9.95528949e-01, 6.67353360e-04]]))","[( ([0., 1., 0.]),  ([0., 1., 0.]))]"
40,"( ([[0.73142555, 0.00948078, 0.12019872],
       [0.12687815, 0.36139463, 0.40320929],
       [0.9880349 , 0.6545297 , 0.91573253]]),  ([[0.8907441 , 0.35337897, 0.63588309],
       [0.40116117, 0.92866782, 0.14059708],
       [0.45355816, 0.22470703, 0.22630241]]))","[( ([0., 0., 1.]),  ([1., 0., 0.]))]"
41,"( ([[0.71439313, 0.58006081, 0.04170536],
       [0.94904883, 0.00177909, 0.68045299],
       [0.80033281, 0.64431027, 0.71715386]]),  ([[0.5658052 , 0.69425088, 0.14853228],
       [0.73771578, 0.54433425, 0.96667229],
       [0.49795253, 0.28512771, 0.94578261]]))","[( ([0., 0., 1.]),  ([0., 0., 1.]))]"
42,"( ([[0.8999431 , 0.0847946 , 0.91474803],
       [0.58617912, 0.39067852, 0.70282286],
       [0.73828668, 0.38196697, 0.9586809 ]]),  ([[0.15741396, 0.70552809, 0.24005394],
       [0.56720874, 0.39579422, 0.51246933],
       [0.23819055, 0.73863373, 0.13867064]]))","[( ([0.        , 0.74486485, 0.25513515]),  ([0.05416991, 0.94583009, 0.        ]))]"
43,"( ([[0.71877539, 0.01327851, 0.27466735],
       [0.67369174, 0.07907025, 0.51648196],
       [0.04554166, 0.02223861, 0.69114073]]),  ([[0.51819307, 0.12719662, 0.97151659],
       [0.54164094, 0.37202206, 0.61061439],
       [0.86832473, 0.36597811, 0.84264598]]))","[( ([0.        , 0.27129582, 0.72870418]),  ([0.2175596, 0.       , 0.7824404]))]"
44,"( ([[0.2714534 , 0.41553908, 0.89773009],
       [0.33452475, 0.95076908, 0.71195907],
       [0.66285438, 0.48037748, 0.49402991]]),  ([[0.6837784 , 0.79813886, 0.66861515],
       [0.22947803, 0.19936667, 0.81541116],
       [0.33098937, 0.03839413, 0.33147926]]))","[( ([0.82627516, 0.17372484, 0.        ]),  ([0.        , 0.25765708, 0.74234292])), ( ([0.03129709, 0.        , 0.96870291]),  ([0.50773436, 0.        , 0.49226564])), ( ([0.70732708, 0.01807519, 0.27459773]),  ([0.44676561, 0.10346283, 0.44977157]))]"
45,"( ([[0.6551801 , 0.49102396, 0.43244686],
       [0.54985596, 0.66036583, 0.6024286 ],
       [0.81349787, 0.01970692, 0.44864952]]),  ([[0.7348918 , 0.18550554, 0.40539182],
       [0.13181468, 0.53805033, 0.52640663],
       [0.73184633, 0.41522469, 0.46544869]]))","[( ([0., 1., 0.]),  ([0., 1., 0.])), ( ([0., 0., 1.]),  ([1., 0., 0.])), ( ([0.       , 0.4030285, 0.5969715]),  ([0.36840286, 0.        , 0.63159714]))]"
46,"( ([[0.11629666, 0.65868884, 0.23310334],
       [0.48716339, 0.57961023, 0.34934506],
       [0.16175933, 0.73657281, 0.84994859]]),  ([[0.49672095, 0.92470085, 0.7822613 ],
       [0.52931076, 0.5151838 , 0.79594725],
       [0.59514922, 0.32682505, 0.20990841]]))","[( ([0.        , 0.59097135, 0.40902865]),  ([0.60605198, 0.        , 0.39394802]))]"
47,"( ([[0.17307242, 0.85843286, 0.14057261],
       [0.86003276, 0.99386931, 0.60412132],
       [0.17644152, 0.56872572, 0.9081987 ]]),  ([[0.69139935, 0.5029996 , 0.0543595 ],
       [0.38101716, 0.42170569, 0.50563256],
       [0.13079256, 0.03958477, 0.54900136]]))","[( ([0., 0., 1.]),  ([0., 0., 1.]))]"
48,"( ([[0.82757347, 0.44062644, 0.65383375],
       [0.76787065, 0.66195759, 0.52335445],
       [0.51292523, 0.36723299, 0.46931317]]),  ([[0.90020192, 0.0075534 , 0.19699958],
       [0.36645558, 0.34482402, 0.52574472],
       [0.14941748, 0.54305423, 0.63633208]]))","[( ([1., 0., 0.]),  ([1., 0., 0.]))]"
49,"( ([[0.02860909, 0.73843611, 0.11498504],
       [0.55360647, 0.04544516, 0.66277465],
       [0.24575741, 0.90627033, 0.56584376]]),  ([[0.29329936, 0.258126  , 0.81208866],
       [0.95648441, 0.47086096, 0.39098013],
       [0.2860739 , 0.00493761, 0.72081321]]))","[( ([0., 1., 0.]),  ([1., 0., 0.]))]"
50,"( ([[0.60346362, 0.14102137, 0.71328799],
       [0.19068644, 0.89821858, 0.23086836],
       [0.52060674, 0.11804566, 0.90875558]]),  ([[0.69828346, 0.98528331, 0.91309104],
       [0.03870068, 0.71373629, 0.56626608],
       [0.42922414, 0.99272431, 0.09234923]]))","[( ([0., 1., 0.]),  ([0., 1., 0.]))]"
51,"( ([[0.88742837, 0.55774769, 0.60960438],
       [0.45610553, 0.72845682, 0.53956428],
       [0.53264683, 0.64849993, 0.81229938]]),  ([[0.77817473, 0.04945984, 0.56990638],
       [0.93605984, 0.83861848, 0.64883167],
       [0.59503702, 0.20074182, 0.75144799]]))","[( ([1., 0., 0.]),  ([1., 0., 0.])), ( ([0., 0., 1.]),  ([0., 0., 1.])), ( ([0.42890003, 0.        , 0.57109997]),  ([0.36359379, 0.        , 0.63640621]))]"
52,"( ([[0.6221645 , 0.93542494, 0.31561152],
       [0.66693206, 0.77464533, 0.84116746],
       [0.68068561, 0.59971623, 0.74163455]]),  ([[0.73475024, 0.22001668, 0.413167  ],
       [0.31998634, 0.80901018, 0.67733677],
       [0.16314237, 0.52574103, 0.08296393]]))","[( ([0.4053688, 0.5946312, 0.       ]),  ([0.        , 0.76574198, 0.23425802]))]"
53,"( ([[0.12369367, 0.60732901, 0.05653532],
       [0.28191424, 0.68546478, 0.83858603],
       [0.69885067, 0.53598507, 0.46007906]]),  ([[0.22342712, 0.92409416, 0.40808908],
       [0.65273213, 0.4233051 , 0.63458689],
       [0.08267617, 0.01894235, 0.00986222]]))","[( ([0., 0., 1.]),  ([1., 0., 0.]))]"
54,"( ([[0.8111022 , 0.6937639 , 0.52191185],
       [0.39325038, 0.02455666, 0.26902732],
       [0.41990373, 0.43390208, 0.63621309]]),  ([[0.01731246, 0.70242701, 0.65136818],
       [0.57435129, 0.44880923, 0.37760187],
       [0.40603182, 0.67603607, 0.04368707]]))","[( ([1., 0., 0.]),  ([0., 1., 0.]))]"
55,"( ([[0.65703991, 0.86312043, 0.38345743],
       [0.00605676, 0.85567502, 0.96917458],
       [0.74852579, 0.34312849, 0.73899647]]),  ([[0.46904883, 0.02643244, 0.60515752],
       [0.66723046, 0.37808668, 0.72641323],
       [0.69475869, 0.48396173, 0.13735995]]))","[( ([0., 1., 0.]),  ([0., 0., 1.])), ( ([0., 0., 1.]),  ([1., 0., 0.])), ( ([0.        , 0.90401469, 0.09598531]),  ([0.2366512, 0.       , 0.7633488]))]"
56,"( ([[0.33128232, 0.57191361, 0.29645706],
       [0.69048009, 0.8441173 , 0.09773003],
       [0.39084667, 0.96609712, 0.82115054]]),  ([[0.76782961, 0.21123352, 0.20158313],
       [0.99447888, 0.93366215, 0.21134514],
       [0.49968226, 0.62423924, 0.63944301]]))","[( ([0., 1., 0.]),  ([1., 0., 0.])), ( ([0., 0., 1.]),  ([0., 0., 1.])), ( ([0.        , 0.67192365, 0.32807635]),  ([0.28931687, 0.71068313, 0.        ]))]"
57,"( ([[0.97394379, 0.83110502, 0.16687249],
       [0.04700451, 0.86206035, 0.27248918],
       [0.61336969, 0.93284804, 0.64474069]]),  ([[0.25745269, 0.67485153, 0.07414647],
       [0.04319274, 0.40369785, 0.40624222],
       [0.53436299, 0.96853297, 0.25025196]]))","[( ([0., 0., 1.]),  ([0., 1., 0.]))]"
58,"( ([[0.42297139, 0.7619969 , 0.81690417],
       [0.07957586, 0.87751078, 0.39077253],
       [0.33830164, 0.1198588 , 0.85440617]]),  ([[0.5278243 , 0.43240001, 0.95815361],
       [0.45149341, 0.93773568, 0.83310368],
       [0.87174963, 0.15024334, 0.17511996]]))","[( ([0., 1., 0.]),  ([0., 1., 0.])), ( ([0.16598095, 0.83401905, 0.        ]),  ([0.        , 0.78673527, 0.21326473])), ( ([0.61814998, 0.        , 0.38185002]),  ([0.30696132, 0.        , 0.69303868]))]"
59,"( ([[0.69477955, 0.45637036, 0.96535154],
       [0.42253188, 0.74629787, 0.240491  ],
       [0.48052756, 0.23496791, 0.48481289]]),  ([[0.04899935, 0.26374103, 0.27194017],
       [0.81571019, 0.33095854, 0.64215583],
       [0.71515593, 0.36906958, 0.80064639]]))","[( ([1., 0., 0.]),  ([0., 0., 1.]))]"
60,"( ([[0.11126495, 0.16343276, 0.7803903 ],
       [0.78367037, 0.88691742, 0.04883827],
       [0.19269505, 0.99165521, 0.91292193]]),  ([[0.39071269, 0.39414488, 0.0013637 ],
       [0.20708399, 0.95878302, 0.78856357],
       [0.51810829, 0.1029656 , 0.26373917]]))","[( ([0.        , 0.30432435, 0.69567565]),  ([0.59384786, 0.        , 0.40615214]))]"
61,"( ([[0.65210183, 0.29394738, 0.77566677],
       [0.33066763, 0.46898823, 0.14214113],
       [0.36049556, 0.99631374, 0.53195185]]),  ([[0.02417224, 0.62993848, 0.77566662],
       [0.62242246, 0.32747116, 0.12312535],
       [0.71665367, 0.29357026, 0.40607582]]))","[( ([1., 0., 0.]),  ([0., 0., 1.]))]"
62,"( ([[0.08994909, 0.2443406 , 0.91736843],
       [0.20099232, 0.57505139, 0.11964619],
       [0.30113611, 0.78497175, 0.27581606]]),  ([[0.59128894, 0.23481307, 0.45088866],
       [0.75634943, 0.76132419, 0.49916365],
       [0.87241271, 0.75091877, 0.33367174]]))","[( ([0., 0., 1.]),  ([1., 0., 0.]))]"
63,"( ([[0.01136483, 0.7547509 , 0.34416949],
       [0.40174093, 0.52067451, 0.03036829],
       [0.94497473, 0.44968741, 0.03453708]]),  ([[0.50983412, 0.65825844, 0.09458364],
       [0.88812866, 0.45696753, 0.63251971],
       [0.16687487, 0.37120545, 0.92798152]]))","[( ([1., 0., 0.]),  ([0., 1., 0.]))]"
64,"( ([[0.22006533, 0.35535074, 0.1878075 ],
       [0.9521145 , 0.31102294, 0.80046882],
       [0.40361812, 0.55967434, 0.30261604]]),  ([[0.5623275 , 0.72368645, 0.5450746 ],
       [0.58612382, 0.0166932 , 0.00787093],
       [0.07695798, 0.77233943, 0.35416088]]))","[( ([0., 1., 0.]),  ([1., 0., 0.])), ( ([0., 0., 1.]),  ([0., 1., 0.])), ( ([0.        , 0.54979034, 0.45020966]),  ([0.31192635, 0.68807365, 0.        ]))]"
